feature_id	IL4_direction	IL4_nominal	IL4_FDR_significant	IL4_log2FC	IL4_P	IL4_FDR	IL13_direction	IL13_nominal	IL13_FDR_significant	IL13_log2FC	IL13_P	IL13_FDR
hsa-miR-487b-3p	up	FALSE	FALSE	0.204168523328654	0.238672441602282	0.71519809890531	down	FALSE	FALSE	-0.0868882690352448	0.726791894972198	0.927255759077531
hsa-miR-425-5p	down	FALSE	FALSE	-0.0395308251738289	0.762571465817927	0.902838259180939	up	FALSE	FALSE	0.0667820472520564	0.661652975790253	0.916516159024411
hsa-miR-501-3p	up	FALSE	FALSE	0.125211935112778	0.814010498365644	0.922507172387301	up	FALSE	FALSE	0.0514816634235197	0.91180511601322	0.972857097713563
hsa-miR-502-3p	down	FALSE	FALSE	-0.561228316701904	0.634127788316588	0.848060684643824	up	FALSE	FALSE	0.381065247061038	0.275566316153807	0.753091701676768
hsa-miR-1246	up	FALSE	FALSE	0.592618781282532	0.556849762440501	0.809002632923718	down	FALSE	FALSE	-0.74835858457798	0.545660412718735	0.83519450926337
hsa-miR-652-3p	up	FALSE	FALSE	0.49123836594614	0.269823390682957	0.71519809890531	down	FALSE	FALSE	-0.184045879569843	0.696813580972143	0.916516159024411
hsa-miR-889-5p	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
hsa-miR-3668	down	FALSE	FALSE	-0.87508482700651	0.183610461726134	0.71519809890531	down	FALSE	FALSE	-0.87508482700651	0.183610461726134	0.753091701676768
hsa-miR-4781-3p	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.697758350175013	0.422649730810374	0.753091701676768
hsa-miR-10399-5p	down	FALSE	FALSE	-1.46597931053224	0.24248085744231	0.71519809890531	down	FALSE	FALSE	-1.95138353284586	0.160501038817083	0.753091701676768
hsa-miR-363-3p	down	TRUE	FALSE	-0.335086053839982	0.0328216711868629	0.71519809890531	down	FALSE	FALSE	-0.222263134312739	0.132511772116357	0.753091701676768
hsa-miR-4699-3p	up	FALSE	FALSE	0.721996583570707	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-3613-3p	up	FALSE	FALSE	0.240907506419403	0.494038165597078	0.766876715708412	up	FALSE	FALSE	0.892109969697872	0.0670660494027703	0.753091701676768
hsa-miR-3681-3p	up	FALSE	FALSE	0.40654107463009	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-4717-3p	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.753091701676768
hsa-miR-6500-3p	up	FALSE	FALSE	0.040776168378722	0.953599986431037	0.975161342753219	up	FALSE	FALSE	0.242465594933792	0.689811987824062	0.916516159024411
hsa-miR-499b-5p	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.281329139517312	0.422649730810374	0.753091701676768
hsa-miR-6847-5p	down	FALSE	FALSE	-0.319416118822113	0.600889984934272	0.838059663983451	down	FALSE	FALSE	-0.0281988432771892	0.973977828561843	0.990624215132819
