circRNA	circRNA_type	GeneSymbol	P	log10FC	reg	sig
hsa_circRNA_101375	exonic	RAD51B	0.105669895468914	0.0675993734978096	up	no
hsa_circRNA_100794	exonic	PDHX	0.123047218737509	0.110839018275041	up	no
hsa_circRNA_104770	exonic	KIF24	0.259634464919783	0.0650335949863327	up	no
hsa_circRNA_021832	exonic	CREB3L1	0.35842040457927	0.0143751249528438	up	no
hsa_circRNA_079201	exonic	IQCE	0.42827245159377	0.0107361964720534	up	no
hsa_circRNA_001710	exonic	ZNF138	0.0242340559099258	0.0924708484783116	up	no
hsa_circRNA_000506	exonic	PCID2	0.495108515379524	0.000921091505191602	up	no
hsa_circRNA_102781	exonic	TCONS_00004336	0.0394093810659518	0.118906771838387	up	no
hsa_circRNA_002635	exonic	B3GALTL	0.246541508542144	0.0525036809289996	up	no
hsa_circRNA_103868	exonic	TCONS_l2_00023407	0.090443318576161	0.101026579202889	up	no
hsa_circRNA_024067	exonic	CEP57	0.294169420195094	0.0543576623225927	up	no
hsa_circRNA_100018	exonic	GNB1	0.103239313585202	0.0754967930865977	up	no
hsa_circRNA_406294	intronic	MAGI1	0.0428679654545349	0.0316263924063534	up	no
hsa_circRNA_405479	exonic	TANGO6	0.357659083925329	0.0154726866562075	up	no
hsa_circRNA_407327	exonic	OCRL	0.196548929289364	0.0969100130080565	up	no
hsa_circRNA_104766	exonic	UBAP2	0.251084972103	0.0493957831607277	up	no
hsa_circRNA_405026	exonic	RAB3IP	0.0879604986167676	0.0503051183113957	up	no
hsa_circRNA_103630	exonic	APBB2	0.190425995294849	0.148304954932513	up	no
hsa_circRNA_101378	exonic	KIAA0247	0.204345609371712	0.0139994226281992	up	no
hsa_circRNA_102892	exonic	SPATS2L	0.185944102804675	0.159366641633703	up	no
hsa_circRNA_105043	exonic	DKC1	0.169267628790312	0.0948987217034879	up	no
hsa_circRNA_100816	exonic	NUP160	0.212184536131175	0.057186952341457	up	no
hsa_circRNA_406051	exonic	ACSL3	0.334294126469649	0.0580083475170253	up	no
hsa_circRNA_102923	exonic	ACSL3	0.384012744418526	0.0313325683526397	up	no
hsa_circRNA_406107	exonic	RBL1	0.183330195473545	0.0939045028683312	up	no
hsa_circRNA_404544	exonic	COL24A1	0.309982643461366	0.0122344564170116	up	no
hsa_circRNA_400893	exonic	AEBP2	0.215523941575428	0.050602380764584	up	no
hsa_circRNA_405573	sense overlapping	CDK12	0.176371621672922	0.0720026614205014	up	no
hsa_circRNA_001635	exonic	SEC63	0.151964509744214	0.122932753910701	up	no
hsa_circRNA_405908	exonic	GMCL1	0.064951479356581	0.127171618040592	up	no
hsa_circRNA_102766	exonic	STAMBP	0.148444003319241	0.0242128474664539	up	no
hsa_circRNA_002102	sense overlapping	RPL14	0.210377590371792	0.0984737875870397	up	no
hsa_circRNA_092535	intronic	TFRC	0.125154217883125	0.212325857905267	up	no
hsa_circRNA_101527	exonic	TCF12	0.0808333685779778	0.0612921537982612	up	no
hsa_circRNA_049704	exonic	CC2D1A	0.447033745294948	0.00386042081323819	up	no
hsa_circRNA_030448	exonic	LMO7	0.356153968431302	0.091203359693909	up	no
hsa_circRNA_017037	exonic	TOMM20	0.152193863472672	0.152548054592266	up	no
hsa_circRNA_104751	exonic	DNAJA1	0.146095134217289	0.205634671398112	up	no
hsa_circRNA_104883	exonic	HSDL2	0.0977659781757232	0.212553150192788	up	no
hsa_circRNA_103991	exonic	G3BP1	0.152480815475411	0.104969030634289	up	no
hsa_circRNA_076654	sense overlapping	HSP90AB1	0.192006522992307	0.118807418556802	up	no
hsa_circRNA_101648	exonic	IQGAP1	0.207387206426804	0.0632637048124999	up	no
hsa_circRNA_034559	exonic	EIF2AK4	0.0398944392316292	0.0831026675607179	up	no
hsa_circRNA_100418	exonic	TRMT1L	0.166765418797078	0.108007572226331	up	no
hsa_circRNA_089506	exonic	UBAC1	0.201418475027552	0.0428602517844317	up	no
hsa_circRNA_100719	exonic	DOCK1	0.200946568664849	0.146903889878861	up	no
hsa_circRNA_001220	intronic	None	0.190151984588908	0.0572954039544324	up	no
hsa_circRNA_102013	exonic	PHF12	0.0805256979001681	0.128608455072568	up	no
hsa_circRNA_104026	exonic	NSD1	0.19636024044931	0.109804993479243	up	no
hsa_circRNA_400694	exonic	NAP1L4	0.258974425859894	0.0999733019100871	up	no
hsa_circRNA_005248	exonic	LAMC1	0.303008133066488	0.101148864007837	up	no
hsa_circRNA_083824	exonic	HMBOX1	0.123179863422759	0.0878723450508067	up	no
hsa_circRNA_405405	sense overlapping	KIAA1024	0.136922795679986	0.0572626529659999	up	no
hsa_circRNA_083815	exonic	INTS9	0.00300322479977307	0.04756812633859	up	no
hsa_circRNA_000761	exonic	FBXL20	0.23503716865217	0.063256186970044	up	no
hsa_circRNA_102294	exonic	ANKRD12	0.183616988102238	0.212179456366286	up	no
hsa_circRNA_101978	exonic	NDEL1	0.225747000396854	0.114696246714242	up	no
hsa_circRNA_056978	exonic	UBR3	0.127323703239659	0.134605467565895	up	no
hsa_circRNA_000521	exonic	APEX1	0.0506546594754136	0.0876693562731438	up	no
hsa_circRNA_405514	intronic	VPS53	0.0590979513467347	0.064287292759396	up	no
hsa_circRNA_052153	exonic	RPS9	0.0290195570629139	0.0734667625231955	up	no
hsa_circRNA_050054	exonic	RPL18A	0.303243221357586	0.00980267406005865	up	no
hsa_circRNA_047559	exonic	ATP5A1	0.14794477996188	0.0537872796603487	up	no
hsa_circRNA_051908	sense overlapping	RPS11	0.120877307466673	0.0930948100075411	up	no
hsa_circRNA_020960	exonic	HBG1	0.403702640324045	0.0212349494070698	up	no
hsa_circRNA_089353	exonic	RPL7A	0.369234852288783	0.0133370138476445	up	no
hsa_circRNA_008077	exonic	PRRG1	0.415659971598599	-0.00672961136118221	down	no
hsa_circRNA_034125	exonic	SNORD116-10	0.437153570180949	0.0100975087409124	up	no
hsa_circRNA_000562	intronic	BTBD7	0.181249288851087	0.0927540532368987	up	no
hsa_circRNA_404660	sense overlapping	MARC2	0.137297760799837	0.0639412794908879	up	no
hsa_circRNA_103952	exonic	FAM13B	0.219337531898915	0.0698412197934815	up	no
hsa_circRNA_400416	exonic	DNAH14	0.213358542084039	0.072889694864426	up	no
hsa_circRNA_401977	exonic	NEDD4L	0.221327928961483	0.0562025151840228	up	no
hsa_circRNA_039714	exonic	GOT2	0.321368020536479	0.032452023781138	up	no
hsa_circRNA_401170	exonic	SLAIN1	0.376445597843184	0.0170840216768973	up	no
hsa_circRNA_101603	exonic	ETFA	0.173967944908505	0.0590346713247016	up	no
hsa_circRNA_006345	exonic	RCL1	0.195455629700281	0.061518037919215	up	no
hsa_circRNA_061975	exonic	SUMO3	0.0976053942574579	0.181390084304947	up	no
hsa_circRNA_406259	exonic	C3orf35	0.120246828631434	0.0707888209923251	up	no
hsa_circRNA_405211	intergenic		0.37498550378275	0.0235971088011686	up	no
hsa_circRNA_086348	exonic	KDM4C	0.160348038988193	0.0683545525550037	up	no
hsa_circRNA_000449	antisense	UNC119B	0.123907134933521	0.0841669624370732	up	no
hsa_circRNA_102987	exonic	C20orf194	0.341726714078166	0.0419331886279953	up	no
hsa_circRNA_015871	exonic	TMEM9	0.0714169295395434	0.0760901690704829	up	no
hsa_circRNA_100058	exonic	VPS13D	0.138522990365416	0.0526123372064241	up	no
hsa_circRNA_100067	exonic	DDI2	0.345464179992847	-0.0186421100560581	down	no
hsa_circRNA_102633	exonic	PUM2	0.0714915255918564	0.142591637644545	up	no
hsa_circRNA_407001	exonic	CADPS2	0.0458924762210636	0.0629684917485779	up	no
hsa_circRNA_002822	exonic	C2orf67	0.178366506304828	0.105967043012926	up	no
hsa_circRNA_101081	exonic	TIMELESS	0.0731828223774531	0.152127948603497	up	no
hsa_circRNA_404782	intronic	KCNMA1	0.394859830037797	-0.0070100411179145	down	no
hsa_circRNA_405487	sense overlapping	LINC01572	0.137221823082219	0.0584999532139978	up	no
hsa_circRNA_103997	exonic	EBF1	0.232792769788379	0.0275026248297864	up	no
hsa_circRNA_057607	exonic	PGAP1	0.28663829893612	-0.0370713113755824	down	no
hsa_circRNA_003251	exonic	WNK1	0.118613101277	0.0865691796698376	up	no
hsa_circRNA_104213	exonic	STXBP5	0.0396168821962504	0.0725143138667169	up	no
hsa_circRNA_091722	exonic	MAGEA3	0.0261275980125298	0.0674678388615643	up	no
hsa_circRNA_405239	exonic	KIAA0586	0.287167291481962	0.0511525224473813	up	no
