feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-495-5p	hsa-miR-495-5p	-0.238098333161501	0.761822640342503	0.94052509968353	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-382-5p	hsa-miR-382-5p	-0.347352331980755	0.353077120091638	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-5583-3p	hsa-miR-5583-3p	-0.847741585166509	0.343758128270818	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-409-3p	hsa-miR-409-3p	-0.127599462539381	0.653457464132682	0.916516159024411	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10523-5p	hsa-miR-10523-5p	0.0757558075221818	0.946602147201239	0.981176954157257	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-625-3p	hsa-miR-625-3p	-0.377775514427379	0.0493816659527679	0.753091701676768	TRUE	FALSE	down	TRUE	TRUE	TRUE	prioritized/tested from integrated ceRNA network; highlighted separately from nominal volcano coloring	biologically prioritized/tested and nominal P < 0.05
hsa-miR-3654	hsa-miR-3654	0.607537167420662	0.352938461014198	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4463	hsa-miR-4463	-0.0600745354531446	0.942512982580416	0.977903786274147	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-2278	hsa-miR-2278	0.178945668906067	0.838086418976702	0.959640937759582	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6859-5p	hsa-miR-6859-5p	-0.805866489774213	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-590-5p	hsa-miR-590-5p	0.785090520988893	0.219328374786532	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3929	hsa-miR-3929	-0.457652350824863	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3141	hsa-miR-3141	0.332810802940831	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-296-3p	hsa-miR-296-3p	-0.0929815008092021	0.659988474958791	0.916516159024411	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4748	hsa-miR-4748	-0.653900188765632	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-329-5p	hsa-miR-329-5p	0.519490083030194	0.632462610187577	0.902290408555646	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1296-3p	hsa-miR-1296-3p	-0.444628053934891	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3168	hsa-miR-3168	0.513976408501653	0.495295896408659	0.803803232193342	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6866-3p	hsa-miR-6866-3p	0.111427450062251	0.883562705679803	0.972857097713563	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1285-5p	hsa-miR-1285-5p	-0.0451626503169122	0.957719185356556	0.983958067147146	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-556-5p	hsa-miR-556-5p	-1.10209999498987	0.202379901068413	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1322	hsa-miR-1322	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4787-3p	hsa-miR-4787-3p	0.397122856885267	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-758-5p	hsa-miR-758-5p	-0.357503066661079	0.528592585438039	0.828586933325599	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-330-3p	hsa-miR-330-3p	-0.683505911726467	0.147242615595684	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4690-3p	hsa-miR-4690-3p	-0.444628053934891	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3129-5p	hsa-miR-3129-5p	0.569447112751878	0.536425485971597	0.828586933325599	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-455-3p	hsa-miR-455-3p	0.302391106203507	0.307976485318045	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-186-3p	hsa-miR-186-3p	0.10905488526558	0.861099837275713	0.971361552309387	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-331-3p	hsa-miR-331-3p	0.0961411634023914	0.469009696101403	0.791764720493732	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10398-3p	hsa-miR-10398-3p	0.697758350175013	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-2276-5p	hsa-miR-2276-5p	0.332810802940831	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-345-3p	hsa-miR-345-3p	-0.143007781683144	0.893533886520305	0.972857097713563	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-146b-3p	hsa-miR-146b-3p	0.0724716505100913	0.395210903493682	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
