query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0072518	GO:MF	Rho-dependent protein serine/threonine kinase activity	13933	8093	GO:0004674
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0072371	GO:MF	histone H2AS121 kinase activity	13933	8090	GO:0140995
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0072354	GO:MF	histone H3T3 kinase activity	13933	8089	GO:0004674;GO:0140996
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0102559	GO:MF	peptide chain release factor N(5)-glutamine methyltransferase activity	13933	8696	GO:0036009
query_1	FALSE	1	87	384	1	0.00260416666666667	0.0114942528735632	GO:0101005	GO:MF	deubiquitinase activity	13933	8465	GO:0019783
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0099528	GO:MF	G protein-coupled neurotransmitter receptor activity	13933	8450	GO:0004930;GO:0030594
query_1	FALSE	1	12	384	1	0.00260416666666667	0.0833333333333333	GO:0099186	GO:MF	structural constituent of postsynapse	13933	8446	GO:0098918
query_1	FALSE	1	95	384	4	0.0104166666666667	0.0421052631578947	GO:0099106	GO:MF	ion channel regulator activity	13933	8440	GO:0016247
query_1	FALSE	1	17	384	1	0.00260416666666667	0.0588235294117647	GO:0099095	GO:MF	ligand-gated monoatomic anion channel activity	13933	8434	GO:0005253;GO:0015276
query_1	FALSE	1	50	384	2	0.00520833333333333	0.04	GO:0099094	GO:MF	ligand-gated monoatomic cation channel activity	13933	8433	GO:0005261;GO:0015276
query_1	FALSE	1	4	384	1	0.00260416666666667	0.25	GO:0098973	GO:MF	structural constituent of postsynaptic actin cytoskeleton	13933	8428	GO:0005200;GO:0099186
query_1	FALSE	1	7	384	1	0.00260416666666667	0.142857142857143	GO:0098960	GO:MF	postsynaptic neurotransmitter receptor activity	13933	8427	GO:0030594
query_1	FALSE	1	15	384	1	0.00260416666666667	0.0666666666666667	GO:0098918	GO:MF	structural constituent of synapse	13933	8425	GO:0005198
query_1	FALSE	1	1441	384	59	0.153645833333333	0.0409437890353921	GO:0098772	GO:MF	molecular function regulator activity	13933	8415	GO:0003674
query_1	FALSE	1	36	384	1	0.00260416666666667	0.0277777777777778	GO:0098632	GO:MF	cell-cell adhesion mediator activity	13933	8400	GO:0098631
query_1	FALSE	1	53	384	2	0.00520833333333333	0.0377358490566038	GO:0098631	GO:MF	cell adhesion mediator activity	13933	8399	GO:0050839
query_1	FALSE	1	14	384	1	0.00260416666666667	0.0714285714285714	GO:0098599	GO:MF	palmitoyl hydrolase activity	13933	8375	GO:0016787
query_1	FALSE	1	39	384	2	0.00520833333333333	0.0512820512820513	GO:0098531	GO:MF	ligand-modulated transcription factor activity	13933	8374	GO:0003700
query_1	FALSE	1	6	384	1	0.00260416666666667	0.166666666666667	GO:0097677	GO:MF	STAT family protein binding	13933	8363	GO:0061629
query_1	FALSE	1	7	384	1	0.00260416666666667	0.142857142857143	GO:0140135	GO:MF	mechanosensitive monoatomic cation channel activity	13933	9213	GO:0005261;GO:0008381
query_1	FALSE	1	1359	384	35	0.0911458333333333	0.0257542310522443	GO:0140110	GO:MF	transcription regulator activity	13933	9201	GO:0003674
query_1	FALSE	1	82	384	1	0.00260416666666667	0.0121951219512195	GO:0140104	GO:MF	molecular carrier activity	13933	9197	GO:0003674
query_1	FALSE	1	12	384	1	0.00260416666666667	0.0833333333333333	GO:0140103	GO:MF	catalytic activity, acting on a glycoprotein	13933	9196	GO:0140096
query_1	FALSE	1	370	384	1	0.00260416666666667	0.0027027027027027	GO:0140098	GO:MF	catalytic activity, acting on RNA	13933	9192	GO:0140640
query_1	FALSE	1	219	384	1	0.00260416666666667	0.0045662100456621	GO:0140097	GO:MF	catalytic activity, acting on DNA	13933	9191	GO:0140640
query_1	FALSE	1	1737	384	40	0.104166666666667	0.023028209556707	GO:0140096	GO:MF	catalytic activity, acting on a protein	13933	9190	GO:0003824
query_1	FALSE	1	78	384	2	0.00520833333333333	0.0256410256410256	GO:0140030	GO:MF	modification-dependent protein binding	13933	9159	GO:0005515
query_1	FALSE	1	62	384	3	0.0078125	0.0483870967741935	GO:0120569	GO:MF	phospholipase activity	13933	9143	GO:0016298
query_1	FALSE	1	80	384	4	0.0104166666666667	0.05	GO:0120544	GO:MF	polypeptide conformation or assembly isomerase activity	13933	9120	GO:0120543
query_1	FALSE	1	240	384	4	0.0104166666666667	0.0166666666666667	GO:0120543	GO:MF	macromolecular conformation isomerase activity	13933	9119	GO:0016853
query_1	FALSE	1	5	384	1	0.00260416666666667	0.2	GO:0106435	GO:MF	carboxylesterase activity	13933	9025	GO:0052689
query_1	FALSE	1	301	384	8	0.0208333333333333	0.026578073089701	GO:0106310	GO:MF	protein serine kinase activity	13933	8956	GO:0004672
query_1	FALSE	1	5	384	1	0.00260416666666667	0.2	GO:0106256	GO:MF	hydroperoxy icosatetraenoate dehydratase activity	13933	8931	GO:0016836
query_1	FALSE	1	3	384	1	0.00260416666666667	0.333333333333333	GO:0106235	GO:MF	ceramide-1-phosphate phosphatase activity	13933	8918	GO:0042577
query_1	FALSE	1	2	384	1	0.00260416666666667	0.5	GO:0106006	GO:MF	cytoskeletal protein-membrane anchor activity	13933	8873	GO:0008093;GO:0043495
query_1	FALSE	1	7	384	1	0.00260416666666667	0.142857142857143	GO:0140410	GO:MF	monoatomic cation:bicarbonate symporter activity	13933	9313	GO:0015106;GO:0015294
query_1	FALSE	1	30	384	1	0.00260416666666667	0.0333333333333333	GO:0140359	GO:MF	ABC-type transporter activity	13933	9297	GO:0042626
query_1	FALSE	1	4	384	1	0.00260416666666667	0.25	GO:0140346	GO:MF	phosphatidylserine flippase activity	13933	9290	GO:0015247;GO:0140333
query_1	FALSE	1	9	384	1	0.00260416666666667	0.111111111111111	GO:0140333	GO:MF	glycerophospholipid flippase activity	13933	9279	GO:0005548;GO:0140327
query_1	FALSE	1	11	384	1	0.00260416666666667	0.0909090909090909	GO:0140328	GO:MF	floppase activity	13933	9277	GO:0140326
query_1	FALSE	1	11	384	1	0.00260416666666667	0.0909090909090909	GO:0140327	GO:MF	flippase activity	13933	9276	GO:0140326
query_1	FALSE	1	18	384	1	0.00260416666666667	0.0555555555555556	GO:0140326	GO:MF	ATPase-coupled intramembrane lipid transporter activity	13933	9275	GO:0140303;GO:0140657
query_1	FALSE	1	42	384	2	0.00520833333333333	0.0476190476190476	GO:0140313	GO:MF	molecular sequestering activity	13933	9267	GO:0003674
query_1	FALSE	1	20	384	1	0.00260416666666667	0.05	GO:0140312	GO:MF	cargo adaptor activity	13933	9266	GO:0030674
query_1	FALSE	1	28	384	2	0.00520833333333333	0.0714285714285714	GO:0140311	GO:MF	protein sequestering activity	13933	9265	GO:0140313
query_1	FALSE	1	33	384	1	0.00260416666666667	0.0303030303030303	GO:0140303	GO:MF	intramembrane lipid transporter activity	13933	9260	GO:0005319
query_1	FALSE	1	47	384	1	0.00260416666666667	0.0212765957446809	GO:0140299	GO:MF	molecular sensor activity	13933	9259	GO:0098772
query_1	FALSE	1	403	384	6	0.015625	0.0148883374689826	GO:0140297	GO:MF	DNA-binding transcription factor binding	13933	9258	GO:0008134
query_1	FALSE	1	54	384	5	0.0130208333333333	0.0925925925925926	GO:0140272	GO:MF	exogenous protein binding	13933	9250	GO:0005515
query_1	FALSE	1	47	384	1	0.00260416666666667	0.0212765957446809	GO:0140186	GO:MF	protein N-acyltransferase activity	13933	9226	GO:0016410;GO:0140096
query_1	FALSE	1	6	384	2	0.00520833333333333	0.333333333333333	GO:0140829	GO:MF	bicarbonate:monoatomic anion antiporter activity	13933	9491	GO:0008509;GO:0015106;GO:0015297
query_1	FALSE	1	21	384	1	0.00260416666666667	0.0476190476190476	GO:0140828	GO:MF	metal cation:monoatomic cation antiporter activity	13933	9490	GO:0015297;GO:0046873
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0140823	GO:MF	histone H2BS36 kinase activity	13933	9485	GO:0004674;GO:0140998
query_1	FALSE	1	66	384	4	0.0104166666666667	0.0606060606060606	GO:0140793	GO:MF	histone H2AXY142 phosphatase activity	13933	9457	GO:0140789
query_1	FALSE	1	62	384	1	0.00260416666666667	0.0161290322580645	GO:0140791	GO:MF	histone H2AXS139 phosphatase activity	13933	9456	GO:0140789
query_1	FALSE	1	101	384	4	0.0104166666666667	0.0396039603960396	GO:0140789	GO:MF	histone phosphatase activity	13933	9455	GO:0004721;GO:0140993
query_1	FALSE	1	9	384	1	0.00260416666666667	0.111111111111111	GO:0140784	GO:MF	metal ion sensor activity	13933	9450	GO:0140299
query_1	FALSE	1	100	384	1	0.00260416666666667	0.01	GO:0140767	GO:MF	enzyme-substrate adaptor activity	13933	9438	GO:0030674
query_1	FALSE	1	37	384	1	0.00260416666666667	0.027027027027027	GO:0140693	GO:MF	molecular condensate scaffold activity	13933	9409	GO:0030674
query_1	FALSE	1	351	384	17	0.0442708333333333	0.0484330484330484	GO:0140678	GO:MF	molecular function inhibitor activity	13933	9399	GO:0098772
query_1	FALSE	1	746	384	32	0.0833333333333333	0.0428954423592493	GO:0140677	GO:MF	molecular function activator activity	13933	9398	GO:0098772
query_1	FALSE	1	461	384	9	0.0234375	0.0195227765726681	GO:0140657	GO:MF	ATP-dependent activity	13933	9386	GO:0003674
query_1	FALSE	1	585	384	1	0.00260416666666667	0.00170940170940171	GO:0140640	GO:MF	catalytic activity, acting on a nucleic acid	13933	9383	GO:0003824
query_1	FALSE	1	39	384	1	0.00260416666666667	0.0256410256410256	GO:0140597	GO:MF	protein carrier chaperone	13933	9367	GO:0140104
query_1	FALSE	1	28	384	1	0.00260416666666667	0.0357142857142857	GO:0140416	GO:MF	transcription regulator inhibitor activity	13933	9317	GO:0140678
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0140412	GO:MF	zinc:bicarbonate symporter activity	13933	9314	GO:0005385;GO:0140410
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0150025	GO:MF	oxidised low-density lipoprotein particle receptor activity	13933	9646	GO:0030228
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0141200	GO:MF	UTP thiamine diphosphokinase activity	13933	9638	GO:0016778
query_1	FALSE	1	10	384	1	0.00260416666666667	0.1	GO:0141147	GO:MF	intracellularly calcium-gated channel activity	13933	9628	GO:0022834
query_1	FALSE	1	35	384	1	0.00260416666666667	0.0285714285714286	GO:0141110	GO:MF	transporter inhibitor activity	13933	9621	GO:0140678;GO:0141108
query_1	FALSE	1	105	384	4	0.0104166666666667	0.0380952380952381	GO:0141108	GO:MF	transporter regulator activity	13933	9619	GO:0098772
query_1	FALSE	1	6	384	1	0.00260416666666667	0.166666666666667	GO:0141069	GO:MF	receptor ligand inhibitor activity	13933	9606	GO:0140678
query_1	FALSE	1	201	384	4	0.0104166666666667	0.0199004975124378	GO:0141003	GO:MF	histone H2AX kinase activity	13933	9587	GO:0035173
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0140998	GO:MF	histone H2B kinase activity	13933	9583	GO:0035173
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0140997	GO:MF	histone H4 kinase activity	13933	9582	GO:0035173
query_1	FALSE	1	205	384	4	0.0104166666666667	0.0195121951219512	GO:0140996	GO:MF	histone H3 kinase activity	13933	9581	GO:0035173
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0140995	GO:MF	histone H2A kinase activity	13933	9580	GO:0035173
query_1	FALSE	1	103	384	1	0.00260416666666667	0.00970873786407767	GO:0140994	GO:MF	RNA polymerase II CTD heptapeptide repeat modifying activity	13933	9579	GO:0140096
query_1	FALSE	1	477	384	9	0.0234375	0.0188679245283019	GO:0140993	GO:MF	histone modifying activity	13933	9578	GO:0140096
query_1	FALSE	1	6	384	2	0.00520833333333333	0.333333333333333	GO:0140900	GO:MF	chloride:bicarbonate antiporter activity	13933	9529	GO:0005452;GO:0015108;GO:0140829
query_1	FALSE	1	201	384	4	0.0104166666666667	0.0199004975124378	GO:0140857	GO:MF	histone H3T45 kinase activity	13933	9515	GO:0004674;GO:0140996
query_1	FALSE	1	200	384	4	0.0104166666666667	0.02	GO:0140855	GO:MF	histone H3S57 kinase activity	13933	9513	GO:0004674;GO:0140996
