feature_id	gene_symbol	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
ENSG00000079156	OSBPL6	OSBPL6	-0.00471595171937872	0.989587206854255	0.999080505939051	FALSE	FALSE	down
ENSG00000079215	SLC1A3	SLC1A3	-0.379432011041277	0.0390969344147801	0.265663144403804	FALSE	FALSE	down
ENSG00000079246	XRCC5	XRCC5	0.00576328792377155	0.944315335357475	0.988950632144686	FALSE	FALSE	up
ENSG00000079257	LXN	LXN	-0.289062280356319	0.402108201848459	0.802560027631369	FALSE	FALSE	down
ENSG00000079263	SP140	SP140	0.260475302894819	0.647391607221604	0.919779949609277	FALSE	FALSE	up
ENSG00000079277	MKNK1	MKNK1	-0.0242730130482997	0.837684207277647	0.969950281771658	FALSE	FALSE	down
ENSG00000079308	TNS1	TNS1	-0.738678925552939	1.26052739567541e-05	0.000437806500180364	TRUE	TRUE	down
ENSG00000079313	REXO1	REXO1	0.0803993533513467	0.510867351359787	0.865609937797773	FALSE	FALSE	up
ENSG00000079332	SAR1A	SAR1A	0.212950714759355	0.0234812790769721	0.193333801906105	FALSE	FALSE	up
ENSG00000079335	CDC14A	CDC14A	0.321089262465648	0.0420230468486346	0.278238688145856	FALSE	FALSE	up
ENSG00000079337	RAPGEF3	RAPGEF3	0.491146260517141	0.0940378290895254	0.440806260470893	FALSE	FALSE	up
ENSG00000079385	CEACAM1	CEACAM1	0.242530880127671	0.327966126933634	0.75667890600202	FALSE	FALSE	up
ENSG00000079387	SENP1	SENP1	0.0559471134562762	0.569155520034757	0.892524876578737	FALSE	FALSE	up
ENSG00000079432	CIC	CIC	-0.0277247681430538	0.724420585327954	0.946427945451404	FALSE	FALSE	down
ENSG00000079435	LIPE	LIPE	-0.222101396704874	0.0948003505092582	0.442436147011966	FALSE	FALSE	down
ENSG00000079459	FDFT1	FDFT1	-0.0210390523245572	0.789481295083005	0.964090200880495	FALSE	FALSE	down
ENSG00000079462	PAFAH1B3	PAFAH1B3	0.0938203907651369	0.562751034400441	0.889835769148551	FALSE	FALSE	up
ENSG00000079482	OPHN1	OPHN1	-0.150706376321661	0.353665615198722	0.774324670098001	FALSE	FALSE	down
ENSG00000079616	KIF22	KIF22	-0.24237011800975	0.00869665389834324	0.0968453289248491	FALSE	FALSE	down
ENSG00000079691	CARMIL1	CARMIL1	-0.14202462901907	0.179913463780438	0.601732079458731	FALSE	FALSE	down
ENSG00000079739	PGM1	PGM1	0.119413777149781	0.105325456762316	0.469204461585657	FALSE	FALSE	up
ENSG00000079785	DDX1	DDX1	0.0160051916337622	0.834148146468249	0.969406988358615	FALSE	FALSE	up
ENSG00000079805	DNM2	DNM2	0.0526892443441588	0.513279974850506	0.866560801998646	FALSE	FALSE	up
ENSG00000079819	EPB41L2	EPB41L2	0.3416516826566	0.00611964537573363	0.0744840663688205	FALSE	FALSE	up
