"Name","Chromosome","Region","Identifier","IL4_B_S8_L001 (trimmed, grouped on mature) - Total counts","IL4_B_S8_L001 (trimmed, grouped on mature) - RPKM","IL4_B_S8_L001 (trimmed, grouped on mature) - TPM","IL4_B_S8_L001 (trimmed, grouped on mature) - CPM","IL4_A_S7_L001 (trimmed, grouped on mature) - Total counts","IL4_A_S7_L001 (trimmed, grouped on mature) - RPKM","IL4_A_S7_L001 (trimmed, grouped on mature) - TPM","IL4_A_S7_L001 (trimmed, grouped on mature) - CPM","IL4_C_S9_L001 (trimmed, grouped on mature) - Total counts","IL4_C_S9_L001 (trimmed, grouped on mature) - RPKM","IL4_C_S9_L001 (trimmed, grouped on mature) - TPM","IL4_C_S9_L001 (trimmed, grouped on mature) - CPM","IL13_C_S6_L001 (trimmed, grouped on mature) - Total counts","IL13_C_S6_L001 (trimmed, grouped on mature) - RPKM","IL13_C_S6_L001 (trimmed, grouped on mature) - TPM","IL13_C_S6_L001 (trimmed, grouped on mature) - CPM","IL13_A_S4_L001 (trimmed, grouped on mature) - Total counts","IL13_A_S4_L001 (trimmed, grouped on mature) - RPKM","IL13_A_S4_L001 (trimmed, grouped on mature) - TPM","IL13_A_S4_L001 (trimmed, grouped on mature) - CPM","IL13_B_S5_L001 (trimmed, grouped on mature) - Total counts","IL13_B_S5_L001 (trimmed, grouped on mature) - RPKM","IL13_B_S5_L001 (trimmed, grouped on mature) - TPM","IL13_B_S5_L001 (trimmed, grouped on mature) - CPM","V_A_S1_L001 (trimmed, grouped on mature) - Total counts","V_A_S1_L001 (trimmed, grouped on mature) - RPKM","V_A_S1_L001 (trimmed, grouped on mature) - TPM","V_A_S1_L001 (trimmed, grouped on mature) - CPM","V_B_S2_L001 (trimmed, grouped on mature) - Total counts","V_B_S2_L001 (trimmed, grouped on mature) - RPKM","V_B_S2_L001 (trimmed, grouped on mature) - TPM","V_B_S2_L001 (trimmed, grouped on mature) - CPM","V_C_S3_L001 (trimmed, grouped on mature) - Total counts","V_C_S3_L001 (trimmed, grouped on mature) - RPKM","V_C_S3_L001 (trimmed, grouped on mature) - TPM","V_C_S3_L001 (trimmed, grouped on mature) - CPM"
"hsa-miR-548ad-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016770","11","NaN","NaN","25.2763441013","17","NaN","NaN","22.5906010572","7","NaN","NaN","12.2070971398","21","NaN","NaN","22.8700960692","19","NaN","NaN","18.95873271","12","NaN","NaN","15.4043131584","7","NaN","NaN","10.6456306063","8","NaN","NaN","11.5808341337","19","NaN","NaN","15.1050844997"
"hsa-miR-548ay-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022210","1","NaN","NaN","2.2978494638","5","NaN","NaN","6.6442944286","1","NaN","NaN","1.74387102","2","NaN","NaN","2.1781043875","1","NaN","NaN","0.9978280374","1","NaN","NaN","1.2836927632","6","NaN","NaN","9.124826234","3","NaN","NaN","4.3428128001","5","NaN","NaN","3.9750222368"
"hsa-miR-548d-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003668","0","NaN","NaN","0","4","NaN","NaN","5.3154355429","5","NaN","NaN","8.7193550998","2","NaN","NaN","2.1781043875","1","NaN","NaN","0.9978280374","1","NaN","NaN","1.2836927632","4","NaN","NaN","6.0832174893","0","NaN","NaN","0","2","NaN","NaN","1.5900088947"
"hsa-miR-548av-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019152","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.5208043723","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548k","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006354","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","3.4877420399","3","NaN","NaN","3.2671565813","1","NaN","NaN","0.9978280374","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.4476042667","3","NaN","NaN","2.3850133421"
"hsa-miR-548l","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006361","0","NaN","NaN","0","1","NaN","NaN","1.3288588857","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548ah-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016796","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-106a-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000113","3","NaN","NaN","6.8935483913","5","NaN","NaN","6.6442944286","5","NaN","NaN","8.7193550998","7","NaN","NaN","7.6233653564","4","NaN","NaN","3.9913121495","5","NaN","NaN","6.418463816","6","NaN","NaN","9.124826234","3","NaN","NaN","4.3428128001","10","NaN","NaN","7.9500444735"
"hsa-miR-548at-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019137","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","0.7950044474"
"hsa-miR-3646","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016046","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
